State,CD #,County,"County Pop. in CD","% of CD in County"
AK,1,Aleutians East Borough,"3,141",0.40%
AK,1,Aleutians West Census Area,"5,561",0.80%
AK,1,Anchorage Borough,"291,826",41.10%
AK,1,Bethel Census Area,"17,013",2.40%
AK,1,Bristol Bay Borough,997,0.10%
AK,1,Denali Borough,"1,826",0.30%
AK,1,Dillingham Census Area,"4,847",0.70%
AK,1,Fairbanks North Star Borough,"97,581",13.70%
AK,1,Haines Borough,"2,508",0.40%
AK,1,Hoonah-Angoon Census Area,"2,150",0.30%
AK,1,Juneau Borough,"31,275",4.40%
AK,1,Kenai Peninsula Borough,"55,400",7.80%
AK,1,Ketchikan Gateway Borough,"13,477",1.90%
AK,1,Kodiak Island Borough,"13,592",1.90%
AK,1,Kusilvak Census Area,"7,459",1.10%
AK,1,Lake and Peninsula Borough,"1,631",0.20%
AK,1,Matanuska-Susitna Borough,"88,995",12.50%
AK,1,Nome Census Area,"9,492",1.30%
AK,1,North Slope Borough,"9,430",1.30%
AK,1,Northwest Arctic Borough,"7,523",1.10%
AK,1,Petersburg Census Area,"3,815",0.50%
AK,1,Prince of Wales-Hyder Census Area,"5,559",0.80%
AK,1,Sitka Borough,"8,881",1.30%
AK,1,Skagway Municipality,968,0.10%
AK,1,Southeast Fairbanks Census Area,"7,029",1.00%
AK,1,Valdez-Cordova Census Area,"9,636",1.40%
AK,1,Wrangell City and Borough,"2,369",0.30%
AK,1,Yakutat Borough,662,0.10%
AK,1,Yukon-Koyukuk Census Area,"5,588",0.80%
AL,1,Baldwin,"182,265",26.70%
AL,1,Clarke,"8,595",1.30%
AL,1,Escambia,"38,319",5.60%
AL,1,Mobile,"412,992",60.50%
AL,1,Monroe,"23,068",3.40%
AL,1,Washington,"17,581",2.60%
AL,2,Autauga,"54,571",8.00%
AL,2,Barbour,"27,457",4.00%
AL,2,Bullock,"10,914",1.60%
AL,2,Butler,"20,947",3.10%
AL,2,Coffee,"49,948",7.30%
AL,2,Conecuh,"13,228",1.90%
AL,2,Covington,"37,765",5.50%
AL,2,Crenshaw,"13,906",2.00%
AL,2,Dale,"50,251",7.40%
AL,2,Elmore,"79,303",11.60%
AL,2,Geneva,"26,790",3.90%
AL,2,Henry,"17,302",2.50%
AL,2,Houston,"101,547",14.90%
AL,2,Montgomery,"145,992",21.40%
AL,2,Pike,"32,899",4.80%
AL,3,Calhoun,"118,572",17.40%
AL,3,Chambers,"34,215",5.00%
AL,3,Cherokee,"24,215",3.50%
AL,3,Clay,"13,932",2.00%
AL,3,Cleburne,"14,972",2.20%
AL,3,Lee,"140,247",20.50%
AL,3,Macon,"21,452",3.10%
AL,3,Montgomery,"31,854",4.70%
AL,3,Randolph,"22,913",3.40%
AL,3,Russell,"52,947",7.80%
AL,3,St. Clair,"83,593",12.20%
AL,3,Talladega,"82,291",12.10%
AL,3,Tallapoosa,"41,616",6.10%
AL,4,Blount,"4,892",0.70%
AL,4,Cherokee,"1,774",0.30%
AL,4,Colbert,"54,428",8.00%
AL,4,Cullman,"80,406",11.80%
AL,4,DeKalb,"71,109",10.40%
AL,4,Etowah,"104,430",15.30%
AL,4,Fayette,"17,241",2.50%
AL,4,Franklin,"31,704",4.60%
AL,4,Jackson,200,0.00%
AL,4,Lamar,"14,564",2.10%
AL,4,Lawrence,"34,339",5.00%
AL,4,Marion,"30,776",4.50%
AL,4,Marshall,"93,019",13.60%
AL,4,Tuscaloosa,"52,430",7.70%
AL,4,Walker,"67,023",9.80%
AL,4,Winston,"24,484",3.60%
AL,5,Jackson,"53,027",7.80%
AL,5,Lauderdale,"92,709",13.60%
AL,5,Limestone,"82,782",12.10%
AL,5,Madison,"334,811",49.00%
AL,5,Morgan,"119,490",17.50%
AL,6,Bibb,"22,915",3.40%
AL,6,Blount,"52,430",7.70%
AL,6,Chilton,"43,643",6.40%
AL,6,Coosa,"11,539",1.70%
AL,6,Jefferson,"357,207",52.30%
AL,6,Shelby,"195,085",28.60%
AL,7,Choctaw,"13,859",2.00%
AL,7,Clarke,"17,238",2.50%
AL,7,Dallas,"43,820",6.40%
AL,7,Greene,"9,045",1.30%
AL,7,Hale,"15,760",2.30%
AL,7,Jefferson,"301,259",44.10%
AL,7,Lowndes,"11,299",1.70%
AL,7,Marengo,"21,027",3.10%
AL,7,Montgomery,"51,517",7.50%
AL,7,Perry,"10,591",1.60%
AL,7,Pickens,"19,746",2.90%
AL,7,Sumter,"13,763",2.00%
AL,7,Tuscaloosa,"142,226",20.80%
AL,7,Wilcox,"11,670",1.70%
AR,1,Arkansas,"19,019",2.60%
AR,1,Baxter,"41,513",5.70%
AR,1,Chicot,"11,800",1.60%
AR,1,Clay,"16,083",2.20%
AR,1,Cleburne,"25,970",3.60%
AR,1,Craighead,"96,443",13.20%
AR,1,Crittenden,"50,902",7.00%
AR,1,Cross,"17,870",2.50%
AR,1,Desha,"13,008",1.80%
AR,1,Fulton,"12,245",1.70%
AR,1,Greene,"42,090",5.80%
AR,1,Independence,"36,647",5.00%
AR,1,Izard,"13,696",1.90%
AR,1,Jackson,"17,997",2.50%
AR,1,Jefferson,"2,679",0.40%
AR,1,Lawrence,"17,415",2.40%
AR,1,Lee,"10,424",1.40%
AR,1,Lincoln,"14,134",1.90%
AR,1,Lonoke,"68,356",9.40%
AR,1,Mississippi,"46,480",6.40%
AR,1,Monroe,"8,149",1.10%
AR,1,Phillips,"21,757",3.00%
AR,1,Poinsett,"24,583",3.40%
AR,1,Prairie,"8,715",1.20%
AR,1,Randolph,"17,969",2.50%
