State,County,CD #,"CD Pop. in County","% of County in CD"
AK,Aleutians East Borough,1,"3,141",100.00%
AK,Aleutians West Census Area,1,"5,561",100.00%
AK,Anchorage Borough,1,"291,826",100.00%
AK,Bethel Census Area,1,"17,013",100.00%
AK,Bristol Bay Borough,1,997,100.00%
AK,Denali Borough,1,"1,826",100.00%
AK,Dillingham Census Area,1,"4,847",100.00%
AK,Fairbanks North Star Borough,1,"97,581",100.00%
AK,Haines Borough,1,"2,508",100.00%
AK,Hoonah-Angoon Census Area,1,"2,150",100.00%
AK,Juneau Borough,1,"31,275",100.00%
AK,Kenai Peninsula Borough,1,"55,400",100.00%
AK,Ketchikan Gateway Borough,1,"13,477",100.00%
AK,Kodiak Island Borough,1,"13,592",100.00%
AK,Kusilvak Census Area,1,"7,459",100.00%
AK,Lake and Peninsula Borough,1,"1,631",100.00%
AK,Matanuska-Susitna Borough,1,"88,995",100.00%
AK,Nome Census Area,1,"9,492",100.00%
AK,North Slope Borough,1,"9,430",100.00%
AK,Northwest Arctic Borough,1,"7,523",100.00%
AK,Petersburg Census Area,1,"3,815",100.00%
AK,Prince of Wales-Hyder Census Area,1,"5,559",100.00%
AK,Sitka Borough,1,"8,881",100.00%
AK,Skagway Municipality,1,968,100.00%
AK,Southeast Fairbanks Census Area,1,"7,029",100.00%
AK,Valdez-Cordova Census Area,1,"9,636",100.00%
AK,Wrangell City and Borough,1,"2,369",100.00%
AK,Yakutat Borough,1,662,100.00%
AK,Yukon-Koyukuk Census Area,1,"5,588",100.00%
AL,Autauga,2,"54,571",100.00%
AL,Baldwin,1,"182,265",100.00%
AL,Barbour,2,"27,457",100.00%
AL,Bibb,6,"22,915",100.00%
AL,Blount,4,"4,892",8.50%
AL,Blount,6,"52,430",91.50%
AL,Bullock,2,"10,914",100.00%
AL,Butler,2,"20,947",100.00%
AL,Calhoun,3,"118,572",100.00%
AL,Chambers,3,"34,215",100.00%
AL,Cherokee,3,"24,215",93.20%
AL,Cherokee,4,"1,774",6.80%
AL,Chilton,6,"43,643",100.00%
AL,Choctaw,7,"13,859",100.00%
AL,Clarke,1,"8,595",33.30%
AL,Clarke,7,"17,238",66.70%
AL,Clay,3,"13,932",100.00%
AL,Cleburne,3,"14,972",100.00%
AL,Coffee,2,"49,948",100.00%
AL,Colbert,4,"54,428",100.00%
AL,Conecuh,2,"13,228",100.00%
AL,Coosa,6,"11,539",100.00%
AL,Covington,2,"37,765",100.00%
AL,Crenshaw,2,"13,906",100.00%
AL,Cullman,4,"80,406",100.00%
AL,Dale,2,"50,251",100.00%
AL,Dallas,7,"43,820",100.00%
AL,DeKalb,4,"71,109",100.00%
AL,Elmore,2,"79,303",100.00%
AL,Escambia,1,"38,319",100.00%
AL,Etowah,4,"104,430",100.00%
AL,Fayette,4,"17,241",100.00%
AL,Franklin,4,"31,704",100.00%
AL,Geneva,2,"26,790",100.00%
AL,Greene,7,"9,045",100.00%
AL,Hale,7,"15,760",100.00%
AL,Henry,2,"17,302",100.00%
AL,Houston,2,"101,547",100.00%
AL,Jackson,4,200,0.40%
AL,Jackson,5,"53,027",99.60%
AL,Jefferson,6,"357,207",54.20%
AL,Jefferson,7,"301,259",45.80%
AL,Lamar,4,"14,564",100.00%
AL,Lauderdale,5,"92,709",100.00%
AL,Lawrence,4,"34,339",100.00%
AL,Lee,3,"140,247",100.00%
AL,Limestone,5,"82,782",100.00%
AL,Lowndes,7,"11,299",100.00%
AL,Macon,3,"21,452",100.00%
AL,Madison,5,"334,811",100.00%
AL,Marengo,7,"21,027",100.00%
AL,Marion,4,"30,776",100.00%
AL,Marshall,4,"93,019",100.00%
AL,Mobile,1,"412,992",100.00%
AL,Monroe,1,"23,068",100.00%
AL,Montgomery,2,"145,992",63.70%
AL,Montgomery,3,"31,854",13.90%
AL,Montgomery,7,"51,517",22.50%
AL,Morgan,5,"119,490",100.00%
AL,Perry,7,"10,591",100.00%
AL,Pickens,7,"19,746",100.00%
AL,Pike,2,"32,899",100.00%
AL,Randolph,3,"22,913",100.00%
AL,Russell,3,"52,947",100.00%
AL,St. Clair,3,"83,593",100.00%
AL,Shelby,6,"195,085",100.00%
AL,Sumter,7,"13,763",100.00%
AL,Talladega,3,"82,291",100.00%
AL,Tallapoosa,3,"41,616",100.00%
AL,Tuscaloosa,4,"52,430",26.90%
AL,Tuscaloosa,7,"142,226",73.10%
AL,Walker,4,"67,023",100.00%
AL,Washington,1,"17,581",100.00%
AL,Wilcox,7,"11,670",100.00%
AL,Winston,4,"24,484",100.00%
AR,Arkansas,1,"19,019",100.00%
AR,Ashley,4,"21,853",100.00%
AR,Baxter,1,"41,513",100.00%
AR,Benton,3,"221,339",100.00%
AR,Boone,3,"36,903",100.00%
AR,Bradley,4,"11,508",100.00%
AR,Calhoun,4,"5,368",100.00%
AR,Carroll,3,"27,446",100.00%
AR,Chicot,1,"11,800",100.00%
